iter	tree	grid	feat	var	change	nchange	geodist	cophdist	condition
0	7	ALIGNMENT	Compare PROG-PAST	PAST_A=PROG_O	gain	17	769.409293672	4705.7792812	C
0	7	ALIGNMENT	Compare PROG-PAST	PAST_A=PROG_O	loss	21	389.570181728	3677.22242223	S
0	4	ALIGNMENT	Compare PROG-PAST	PROG_A=PST_O	gain	15	731.540696651	4406.28086974	C
0	4	ALIGNMENT	Compare PROG-PAST	PROG_A=PST_O	loss	6	1023.31621189	5680.41269147	S
0	5	ALIGNMENT	Compare PROG-PAST	PROG_So=PST_So	gain	2	364.261043364	1349.87293362	S
0	5	ALIGNMENT	Compare PROG-PAST	PROG_So=PST_So	loss	2	5861.46469725	9889.05790149	C
0	9	ALIGNMENT	Noun: Present Progressive	N:PROG: O=So?	gain	25	760.242637114	4545.93794635	S
0	9	ALIGNMENT	Noun: Present Progressive	N:PROG: O=So?	loss	15	598.883896488	3353.94124476	C
0	1	ALIGNMENT	Noun: Present Progressive	N:PROG:A=O?	gain	31	668.961218023	4553.21838871	S
0	1	ALIGNMENT	Noun: Present Progressive	N:PROG:A=O?	loss	13	1044.60560603	3994.16450119	C
0	5	ALIGNMENT	Noun: Present Progressive	N:PROG:A=Sa?	loss	2	163.778539782	1849.01155593	C
0	4	ALIGNMENT	Noun: Simple Past	N:PST: O=So?	gain	30	734.141418567	4616.40384581	S
0	4	ALIGNMENT	Noun: Simple Past	N:PST: O=So?	loss	16	605.407905789	6319.64971182	C
0	2	ALIGNMENT	Noun: Simple Past	N:PST:A=O?	gain	22	825.418041458	6005.20298194	S
0	2	ALIGNMENT	Noun: Simple Past	N:PST:A=O?	loss	12	626.702883004	4188.82605287	C
0	8	ALIGNMENT	Noun: Simple Past	N:PST:A=Sa?	gain	9	761.611213369	4068.11674469	S
0	8	ALIGNMENT	Noun: Simple Past	N:PST:A=Sa?	loss	5	1477.54622009	3630.77152995	C
0	6	ALIGNMENT	Pronoun: Present Progressive	P:PROG: O=So?	gain	13	780.73113948	5545.50911857	S
0	6	ALIGNMENT	Pronoun: Present Progressive	P:PROG: O=So?	loss	8	760.670378662	7290.81606965	C
0	0	ALIGNMENT	Pronoun: Present Progressive	P:PROG:A=O?	gain	9	778.814357767	4458.57346495	S
0	0	ALIGNMENT	Pronoun: Present Progressive	P:PROG:A=O?	loss	2	945.305179366	8671.24540902	C
0	2	ALIGNMENT	Pronoun: Simple Past	P:PST: O=So?	gain	21	685.098522222	4445.23072478	S
0	2	ALIGNMENT	Pronoun: Simple Past	P:PST: O=So?	loss	11	722.371102956	5265.28660602	C
0	5	ALIGNMENT	Pronoun: Simple Past	P:PST:A=O?	gain	8	1516.34466049	3631.85299141	S
0	5	ALIGNMENT	Pronoun: Simple Past	P:PST:A=O?	loss	3	1661.28174276	8337.95704054	C
0	13	ALIGNMENT	Pronoun: Simple Past	P:PST:A=Sa?	gain	3	1549.22938362	6018.95666335	S
0	13	ALIGNMENT	Pronoun: Simple Past	P:PST:A=Sa?	loss	6	1436.35298819	6445.30104365	C
0	0	ALIGNMENT	Reflexive Pronoun in trans. Clause	REFL-ref-A	gain	11	750.843649957	2454.76044108	N
0	0	ALIGNMENT	Reflexive Pronoun in trans. Clause	REFL-ref-A	loss	6	2325.39855179	5605.96216387	N
0	5	ALIGNMENT	Reflexive Pronoun in trans. Clause	REFL-ref-O	gain	7	1665.60328851	10063.2534286	N
0	5	ALIGNMENT	Reflexive Pronoun in trans. Clause	REFL-ref-O	loss	9	823.820320565	3838.18938927	N
0	12	ALIGNMENT	Verb: Present Progressive	V:PROG: O=So?	gain	13	870.897380716	6669.22055227	S
0	12	ALIGNMENT	Verb: Present Progressive	V:PROG: O=So?	loss	18	455.286509217	5283.11688772	C
0	6	ALIGNMENT	Verb: Present Progressive	V:PROG:A=O?	gain	10	1288.59665902	8389.29850407	S
0	6	ALIGNMENT	Verb: Present Progressive	V:PROG:A=O?	loss	7	366.072925242	7797.78098337	C
0	10	ALIGNMENT	Verb: Present Progressive	V:PROG:A=Sa?	loss	3	3968.69589864	7364.4197145	C
0	13	ALIGNMENT	Verb: Simple Past	V:PST: O=So?	gain	29	561.098240272	4271.9203954	S
0	13	ALIGNMENT	Verb: Simple Past	V:PST: O=So?	loss	35	559.123209528	4791.38539947	C
0	15	ALIGNMENT	Verb: Simple Past	V:PST:A=O?	gain	17	1035.34482036	5107.88428376	S
0	15	ALIGNMENT	Verb: Simple Past	V:PST:A=O?	loss	9	1273.47911636	4868.88085266	C
0	5	ALIGNMENT	Verb: Simple Past	V:PST:A=Sa?	gain	6	888.745018468	3066.03062831	S
0	5	ALIGNMENT	Verb: Simple Past	V:PST:A=Sa?	loss	7	644.455255989	3412.20500329	C
0	15	Nominal morphology	Case marking	CASE-ADJ	gain	14	830.779658041	5135.3836579	C
0	15	Nominal morphology	Case marking	CASE-ADJ	loss	32	579.639049881	4513.12778669	S
0	15	Nominal morphology	Case marking	CASE-ART	gain	7	945.797895757	6228.61215317	C
0	15	Nominal morphology	Case marking	CASE-ART	loss	26	679.969428377	6191.70198595	S
0	6	Nominal morphology	Case marking	CASE-LAST	gain	11	1172.29019865	6821.45432169	C
0	6	Nominal morphology	Case marking	CASE-LAST	loss	3	1206.37959484	7806.36340355	S
0	12	Nominal morphology	Case marking	CASE-N	gain	9	762.861326384	5732.7668694	C
0	12	Nominal morphology	Case marking	CASE-N	loss	19	792.40034558	5229.8691471	S
0	5	Nominal morphology	Definiteness marking	ADJ-DEF	gain	7	1801.21536578	6175.17185133	C
0	5	Nominal morphology	Definiteness marking	ADJ-DEF	loss	9	617.823647079	4155.10914923	S
0	4	Nominal morphology	Definiteness marking	DEF-FIRST	gain	12	1145.94666281	5151.56951335	C
0	4	Nominal morphology	Definiteness marking	DEF-FIRST	loss	9	764.842838732	6531.88544612	S
0	11	Nominal morphology	Definiteness marking	DEF-LAST	gain	8	1270.37268751	3710.45091251	C
0	11	Nominal morphology	Definiteness marking	DEF-LAST	loss	2	215.29086902	187.780341112	S
0	10	Nominal morphology	Definiteness marking	DEF.ART	gain	8	1513.26893405	4056.02387148	N
0	10	Nominal morphology	Definiteness marking	DEF.ART	loss	13	1134.95475073	6091.69026353	N
0	13	Nominal morphology	Definiteness marking	N-DEF	gain	12	1066.0379721	7009.70754754	N
0	13	Nominal morphology	Definiteness marking	N-DEF	loss	16	877.793016832	3931.65470029	N
0	10	Nominal morphology	Gender / Noun class	<5 GENDER	gain	3	3420.95406756	4784.15851947	C
0	10	Nominal morphology	Gender / Noun class	<5 GENDER	loss	4	253.502653111	2443.26150125	S
0	10	Nominal morphology	Gender / Noun class	ANIM	gain	10	1362.05238897	5275.66195488	C
0	10	Nominal morphology	Gender / Noun class	ANIM	loss	11	814.492629835	2958.39229356	S
0	6	Nominal morphology	Gender / Noun class	M/F	gain	6	785.477407052	6459.85741301	C
0	6	Nominal morphology	Gender / Noun class	M/F	loss	22	764.268730034	5672.39806108	S
0	10	Nominal morphology	Gender / Noun class	NEUTR	gain	6	2122.69338407	8066.89644732	C
0	10	Nominal morphology	Gender / Noun class	NEUTR	loss	19	542.977383588	4830.85942685	S
0	2	Nominal morphology	Gender agreement	PRED-ADJ	gain	13	744.47728044	3356.62285876	C
0	2	Nominal morphology	Gender agreement	PRED-ADJ	loss	17	771.474995114	4041.7544742	S
0	9	Nominal morphology	Nominal cases	<7 Cases	gain	5	1909.72464544	4706.69084955	C
0	9	Nominal morphology	Nominal cases	<7 Cases	loss	9	1362.37134908	1856.26075122	S
0	14	Nominal morphology	Nominal cases	AGG.CASE.NR	gain	10	1382.98715263	6698.61577338	S
0	14	Nominal morphology	Nominal cases	AGG.CASE.NR	loss	12	709.746291588	3951.12769072	N
0	3	Nominal morphology	Nominal cases	AGGL.CASE	gain	12	963.740547357	4584.40186343	S
0	3	Nominal morphology	Nominal cases	AGGL.CASE	loss	15	645.394170345	4775.15327413	N
0	1	Nominal morphology	Nominal cases	DAT	gain	13	902.394023149	5121.54580742	C
0	1	Nominal morphology	Nominal cases	DAT	loss	27	622.865793189	4005.13372218	S
0	16	Nominal morphology	Nominal cases	GEN	gain	16	600.600201286	6075.37550968	C
0	16	Nominal morphology	Nominal cases	GEN	loss	22	572.23154543	5576.91898223	S
0	17	Nominal morphology	Nominal cases	GEN/DAT	gain	10	1058.3942099	5729.97716118	C
0	17	Nominal morphology	Nominal cases	GEN/DAT	loss	31	666.715491937	4471.94000271	S
0	0	Nominal morphology	Nominal cases	O-case	gain	12	1251.02236419	4279.59645497	C
0	0	Nominal morphology	Nominal cases	O-case	loss	33	643.460909005	3883.23609366	S
0	4	Nominal morphology	Nominal cases	OBL-Cases	gain	8	950.498990868	5279.71171033	C
0	4	Nominal morphology	Nominal cases	OBL-Cases	loss	10	1517.8286554	7471.03864988	S
0	1	Nominal morphology	Nominal cases	VOC	gain	15	876.842882445	5043.6864624	C
0	1	Nominal morphology	Nominal cases	VOC	loss	21	914.13222057	5792.31277194	S
0	0	Nominal morphology	Preposition agreement	PRON-AGR	gain	5	2769.23157192	8591.55212702	C
0	5	Nominal morphology	Pronominal Cases	<7 Cases	gain	4	2300.64323631	7868.4758911	C
0	5	Nominal morphology	Pronominal Cases	<7 Cases	loss	2	262.215718561	1349.88926275	S
0	3	Nominal morphology	Pronominal Cases	AGGL.CASE	gain	6	1355.40384508	4678.22983067	N
0	3	Nominal morphology	Pronominal Cases	AGGL.CASE	loss	7	1130.43126724	2714.70052568	N
0	1	Nominal morphology	Pronominal Cases	AGGL.CASE.NR	gain	4	2171.98041981	3387.37201017	N
0	1	Nominal morphology	Pronominal Cases	AGGL.CASE.NR	loss	9	482.78510046	3015.55100115	N
0	4	Nominal morphology	Pronominal Cases	A≠O	gain	3	2531.14228632	7726.81929934	C
0	4	Nominal morphology	Pronominal Cases	A≠O	loss	7	1468.51577831	8407.59596814	S
0	1	Nominal morphology	Pronominal Cases	DAT≠O	gain	27	622.242456696	3434.36259006	C
0	1	Nominal morphology	Pronominal Cases	DAT≠O	loss	35	677.156463837	4171.14058814	S
0	3	Nominal morphology	Pronominal Cases	OBL-Cases	gain	2	449.794584344	1479.0436041	C
0	3	Nominal morphology	Pronominal Cases	OBL-Cases	loss	17	1165.337929	6000.13806517	S
0	7	TENSE	Continous present	Present ????	gain	2	268.035769028	1062.28998853	N
0	7	TENSE	Continous present	Present ????	loss	5	579.212326044	4544.89016601	N
0	3	TENSE	Continous present	Progressive present	gain	22	686.799918956	4493.64955056	N
