language	lon	lat	ALIGNMENT|Compare PROG-PAST|PAST_A=PROG_O	ALIGNMENT|Compare PROG-PAST|PROG_A=PST_O	ALIGNMENT|Compare PROG-PAST|PROG_So=PST_So	ALIGNMENT|Noun: Present Progressive|N:PROG: O=So?	ALIGNMENT|Noun: Present Progressive|N:PROG:A=O?	ALIGNMENT|Noun: Present Progressive|N:PROG:A=Sa?	ALIGNMENT|Noun: Present Progressive|N:PROG:Sa=So?	ALIGNMENT|Noun: Simple Past|N:PST: O=So?	ALIGNMENT|Noun: Simple Past|N:PST:A=O?	ALIGNMENT|Noun: Simple Past|N:PST:A=Sa?	ALIGNMENT|Noun: Simple Past|N:PST:Sa=So?	ALIGNMENT|Pronoun: Present Progressive|P:PROG: O=So?	ALIGNMENT|Pronoun: Present Progressive|P:PROG:A=O?	ALIGNMENT|Pronoun: Present Progressive|P:PROG:A=Sa?	ALIGNMENT|Pronoun: Present Progressive|P:PROG:Sa=So?	ALIGNMENT|Pronoun: Simple Past|P:PST: O=So?	ALIGNMENT|Pronoun: Simple Past|P:PST:A=O?	ALIGNMENT|Pronoun: Simple Past|P:PST:A=Sa?	ALIGNMENT|Pronoun: Simple Past|P:PST:Sa=So?	ALIGNMENT|Reflexive Pronoun in trans. Clause|REFL-ref-A	ALIGNMENT|Reflexive Pronoun in trans. Clause|REFL-ref-O	ALIGNMENT|Verb: Present Progressive|V:PROG: O=So?	ALIGNMENT|Verb: Present Progressive|V:PROG:A=O?	ALIGNMENT|Verb: Present Progressive|V:PROG:A=Sa?	ALIGNMENT|Verb: Present Progressive|V:PROG:Sa=So?	ALIGNMENT|Verb: Simple Past|V:PST: O=So?	ALIGNMENT|Verb: Simple Past|V:PST:A=O?	ALIGNMENT|Verb: Simple Past|V:PST:A=Sa?	ALIGNMENT|Verb: Simple Past|V:PST:Sa=So?	Nominal morphology|Case marking|CASE-ADJ	Nominal morphology|Case marking|CASE-ART	Nominal morphology|Case marking|CASE-FIRST	Nominal morphology|Case marking|CASE-LAST	Nominal morphology|Case marking|CASE-N	Nominal morphology|Definiteness marking|ADJ-DEF	Nominal morphology|Definiteness marking|DEF-FIRST	Nominal morphology|Definiteness marking|DEF-LAST	Nominal morphology|Definiteness marking|DEF.ART	Nominal morphology|Definiteness marking|N-DEF	Nominal morphology|Gender / Noun class|<5 GENDER	Nominal morphology|Gender / Noun class|ANIM	Nominal morphology|Gender / Noun class|M/F	Nominal morphology|Gender / Noun class|NEUTR	Nominal morphology|Gender agreement|PRED-ADJ	Nominal morphology|Nominal cases|<7 Cases	Nominal morphology|Nominal cases|AGG.CASE.NR	Nominal morphology|Nominal cases|AGGL.CASE	Nominal morphology|Nominal cases|DAT	Nominal morphology|Nominal cases|GEN	Nominal morphology|Nominal cases|GEN/DAT	Nominal morphology|Nominal cases|O-case	Nominal morphology|Nominal cases|OBL-Cases	Nominal morphology|Nominal cases|VOC	Nominal morphology|Preposition agreement|PRON-AGR	Nominal morphology|Pronominal Cases|<7 Cases	Nominal morphology|Pronominal Cases|AGGL.CASE	Nominal morphology|Pronominal Cases|AGGL.CASE.NR	Nominal morphology|Pronominal Cases|A≠O	Nominal morphology|Pronominal Cases|DAT≠O	Nominal morphology|Pronominal Cases|OBL-Cases	Nominal morphology|Pronominal Cases|VOC	TENSE|Continous present|Present ????	TENSE|Continous present|Progressive present	TENSE|Future|FUT.AUX	TENSE|Future|FUT.Participle	TENSE|Future|FUT.Particle	TENSE|Future|FUT.Synth	TENSE|Future|PERF.FUT	Verbal morphology|Allocutive agreement|ALLOC	Verbal morphology|present progressive, A|PROG:A-AGR-FULL	Verbal morphology|present progressive, A|PROG:A-Gender-AGR	Verbal morphology|present progressive, A|PROG:NO-A-AGR	Verbal morphology|present progressive, DAT|PROG:DAT-AGR-FULL	Verbal morphology|present progressive, DAT|PROG:DAT-Gender-AGR	Verbal morphology|present progressive, DAT|PROG:NO-DAT-AGR	Verbal morphology|present progressive, O|PROG:NO-O-AGR	Verbal morphology|present progressive, O|PROG:O-AGR-FULL	Verbal morphology|present progressive, O|PROG:O-Gender-AGR	Verbal morphology|simple PAST, A|PST:A-AGR-FULL	Verbal morphology|simple PAST, A|PST:A-Gender-AGR	Verbal morphology|simple PAST, A|PST:NO-A-AGR	Verbal morphology|simple PAST, DAT|PST:DAT-AGR-FULL	Verbal morphology|simple PAST, DAT|PST:DAT-Gender-AGR	Verbal morphology|simple PAST, DAT|PST:NO-DAT-AGR	Verbal morphology|simple PAST, O|PST:NO-O-AGR	Verbal morphology|simple PAST, O|PST:O-AGR-FULL	Verbal morphology|simple PAST, O|PST:O-Gender-AGR	Word order|Adpositions|Post	Word order|Adpositions|Prep	Word order|Clitic pronouns finite verb|2nd position	Word order|Clitic pronouns finite verb|OV	Word order|Clitic pronouns finite verb|VO	Word order|Clitic pronouns infinitive|2nd position	Word order|Clitic pronouns infinitive|OV	Word order|Clitic pronouns infinitive|VO	Word order|Clitic pronouns participle|2nd position	Word order|Clitic pronouns participle|OV	Word order|Clitic pronouns participle|VO	Word order|Infinitive|OV	Word order|Infinitive|VO	Word order|Main clauses|SOV	Word order|Main clauses|SVO	Word order|Main clauses|V2	Word order|Main clauses|VSO	Word order|Noun-Possessor|N-Poss	Word order|Noun-Possessor|Poss-N	Word order|Noun-adjective|AN	Word order|Noun-adjective|NA	Word order|Noun-relative clause|NRel	Word order|Noun-relative clause|RelN	Word order|Participle|OV	Word order|Participle|VO	Word order|Subordinate clause|SOV	Word order|Subordinate clause|SVO	Word order|Subordinate clause|V2	Word order|Subordinate clause|VSO	Word order|WH-element|WH-V	Word order|WH-element|WH-initial
Tocharian_B	81.514435	41.645502	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	NA	NA	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	1	1	1	1	0	0	0	1	0	0	0	NA	NA	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	0	NA	NA	1	0	1	0	0	0	0	1
Old_Portuguese	-8.629141	41.15818	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1
Danish	12.583182	55.679885	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1
Khowar	72.51658	36.457958	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	NA	NA	0	0	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	NA	NA	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	0
Romani_(Sinte)	10.203424	51.4992	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	0	0	1	1	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	1
Oriya	86.278412	20.608549	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	NA	0	0	1	1	0	0	1	1	NA	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	NA	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	1	1
French	2.347857	48.854451	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	1
German	13.409092	52.520822	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	NA	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	1	1
Kabardian	43.660641	43.36887	0	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	NA	0	NA	NA	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	NA	NA	1	0	0	0	0	1	0	1	0	0	NA	NA	1	0	0	0	1	0
Manx	-4.484657	54.151988	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1
Pashto	68.188804	31.432929	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	NA	NA	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	NA	NA	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0
Talysh	48.730017	38.854174	1	1	1	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	NA	NA	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	0
Old_Italian	11.249249	43.776281	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	NA	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1
English	-0.100059	51.497728	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1
